,text,id,user,name,likes,retweet_count,date,source,location,sentiment
23,Our democracy should work for everyone - but it takes everyone’s participation. Watch the #EveryVoteCounts livestream now: https://t.co/e529uWicxB https://t.co/z1l2KGJSd3,1322342523705028608,LeoDiCaprio,Leonardo DiCaprio,14094,1662,2020-10-31 01:00:00,Twitter Web App,"Los Angeles, CA",0
24,"Watch the livestream of #EveryVoteCounts: A Celebration of Democracy - starting in 30 minutes. 
https://t.co/MU8UKEEDuJ",1322334974675197953,LeoDiCaprio,Leonardo DiCaprio,1633,172,2020-10-31 00:30:00,Twitter Web App,"Los Angeles, CA",0
25,"RT @GlblCtzn: T-minus 1 HOUR until you can watch #EveryVoteCounts on Twitter, Facebook, and YouTube! Join our party in celebration of democ…",1322331197557518337,LeoDiCaprio,Leonardo DiCaprio,0,74,2020-10-31 00:14:59,Twitter Web App,"Los Angeles, CA",-1
26,"RT @GlblCtzn: Two things:

🎶 Tune in to #EveryVoteCounts tonight at 9pm ET on Twitter, Facebook, YouTube, &amp; more ⬇
https://t.co/TkeqJTGnFj…",1322319046549757954,LeoDiCaprio,Leonardo DiCaprio,0,56,2020-10-30 23:26:42,Twitter Web App,"Los Angeles, CA",1
27,RT @nowthisnews: Lawsuits are trying to restrict the vote in crucial swing states. @DemocracyDocket founder @marceelias explains what you n…,1322292984948396034,LeoDiCaprio,Leonardo DiCaprio,0,271,2020-10-30 21:43:09,Twitter Web App,"Los Angeles, CA",0
28,"If you missed the broadcast premiere of #EveryVoteCounts, you can watch the digital livestream tonight at 6pm PT / 9pm ET on my Facebook: https://t.co/aiFzcBazFr https://t.co/4uGrISRSji",1322234088896356356,LeoDiCaprio,Leonardo DiCaprio,1231,153,2020-10-30 17:49:07,Twitter Web App,"Los Angeles, CA",0
29,Voting in #Pennsylvania? Bradley Cooper has this important message. https://t.co/NVBBiBuEaa,1322228993051930624,LeoDiCaprio,Leonardo DiCaprio,4673,513,2020-10-30 17:28:52,Twitter for iPhone,"Los Angeles, CA",1
30,"Thank you to everyone who tuned in for #EveryVoteCounts on @CBS tonight. If you missed the show, you can watch the livestream from the @GlblCtzn Facebook tomorrow at 6pm PT. 
https://t.co/fKFoGVPFVI",1322040281928224770,LeoDiCaprio,Leonardo DiCaprio,1949,172,2020-10-30 04:59:00,Twitter Web App,"Los Angeles, CA",0
31,"RT @GlblCtzn: 🎉 The party’s just getting started! Our fearless hosts @AliciaKeys, @AmericaFerrera, and @KerryWashington just kicked off our…",1321984486557376512,LeoDiCaprio,Leonardo DiCaprio,0,90,2020-10-30 01:17:17,Twitter Web App,"Los Angeles, CA",0
32,RT @AmericaFerrera: @aliciakeys Ready to goooo!!!!!,1321982632243073024,LeoDiCaprio,Leonardo DiCaprio,0,24,2020-10-30 01:09:55,Twitter Web App,"Los Angeles, CA",1
33,RT @kerrywashington: @aliciakeys @AmericaFerrera @JLo @common @EvaLongoria @WValderrama @tanfrance @GlblCtzn LETS GO!!!!!!!!!!! #EveryVoteC…,1321982570964246529,LeoDiCaprio,Leonardo DiCaprio,0,36,2020-10-30 01:09:40,Twitter Web App,"Los Angeles, CA",0
34,"RT @aliciakeys: We’re having a Twitter party! I’m (virtually) here w/ @AmericaFerrera, @KerryWashington, @JLo, @Common, @EvaLongoria, @WVal…",1321982548742873088,LeoDiCaprio,Leonardo DiCaprio,0,174,2020-10-30 01:09:35,Twitter Web App,"Los Angeles, CA",0
35,"It’s almost time for #EveryVoteCounts. Tune in to @CBS at 9/8c. If you can't watch tonight, head to https://t.co/fKFoGW7gNg for more options.",1321971579413164032,LeoDiCaprio,Leonardo DiCaprio,1475,167,2020-10-30 00:26:00,Twitter Web App,"Los Angeles, CA",1
36,"We’re just a few hours away from the premiere of #EveryVoteCounts. 
Watch live on @CBS tonight at 6pm PT / 9pm ET or click https://t.co/fKFoGW7gNg for other ways to take part. 🗳 https://t.co/fpVoWSo9ik",1321919926551023616,LeoDiCaprio,Leonardo DiCaprio,1247,137,2020-10-29 21:00:45,Twitter Media Studio,"Los Angeles, CA",-1
37,"Got a Question about voting? 
@AliciaKeys, @KerryWashington and @GlblCtzn will be answering some of your Qs at 8:50pm ET today ahead of #EveryVoteCounts on @CBS. 

Tweet your Questions using #AskEveryVoteCounts",1321904641055973376,LeoDiCaprio,Leonardo DiCaprio,1409,143,2020-10-29 20:00:00,Twitter Web App,"Los Angeles, CA",0
38,"We cannot allow #Texas Republicans to disenfranchise voters like this. 
Curbside drive-thru voting is one of the safest ways for people to cast their ballot in person during a pandemic. https://t.co/zZyTo6ibkP",1321889670528028672,LeoDiCaprio,Leonardo DiCaprio,4635,798,2020-10-29 19:00:31,Twitter Web App,"Los Angeles, CA",0
39,"Today is the day. Join me for #EveryVoteCounts, a broadcast special premiering tonight at 6pm PT / 9pm ET with @GlblCtzn on @CBS. 
Head to https://t.co/YCdMMHePit to find out how you can watch.",1321814047919099904,LeoDiCaprio,Leonardo DiCaprio,1730,205,2020-10-29 14:00:01,Twitter Web App,"Los Angeles, CA",1
40,"1 day to go until #EveryVoteCounts, a special event celebrating our collective power as a democracy and our fundamental right to vote.
Join us tomorrow at https://t.co/fKFoGW7gNg https://t.co/GmEc7tUe8g",1321535064094593025,LeoDiCaprio,Leonardo DiCaprio,1741,186,2020-10-28 19:31:26,Twitter Media Studio,"Los Angeles, CA",1
41,#Georgia: @BillNye wants you to vote for Science. Here's why. https://t.co/67sYIITgfp,1321474774405500928,LeoDiCaprio,Leonardo DiCaprio,2419,336,2020-10-28 15:31:52,Twitter Web App,"Los Angeles, CA",1
42,"Wisconsin is a crucial swing state this Election so join @JonahHill and the cast of #Superbad for a special reunion and watch party in support of @WisDems.

Tune in from 6PM PT / 9PM ET at https://t.co/sThQyy51N8
https://t.co/sThQyy51N8",1321240261142343680,LeoDiCaprio,Leonardo DiCaprio,2101,219,2020-10-28 00:00:00,Twitter Web App,"Los Angeles, CA",1
43,When it comes to #VoterSuppression - know what to look for at the polls. https://t.co/J6DAlXj97R,1321192921882714112,LeoDiCaprio,Leonardo DiCaprio,2391,253,2020-10-27 20:51:53,Twitter Web App,"Los Angeles, CA",0
44,"Please join me for #EveryVoteCounts, a broadcast special taking place this Thursday and Friday with @GlblCtzn. 

Find out how you can take part at https://t.co/fKFoGW7gNg https://t.co/xaU2e5T4rx",1321139936192458753,LeoDiCaprio,Leonardo DiCaprio,1721,201,2020-10-27 17:21:21,Twitter Web App,"Los Angeles, CA",1
45,Join my friend @JonahHill for the #SuperbadWatchParty tomorrow night in support of @WisDems https://t.co/sThQyy51N8 https://t.co/PYbhTBhCyT,1320894783175286786,LeoDiCaprio,Leonardo DiCaprio,2864,234,2020-10-27 01:07:12,Twitter for iPhone,"Los Angeles, CA",0
46,"Black Eyed Peas (@BEP) and Jennifer Hudson (@IAMJHUD) are on a mission to get #YoungVoters and #VotersOfColor out to cast their ballot on or before #ElectionDay. 

Watch #TheLOVE now https://t.co/c5noM5XtTb",1320821136108605441,LeoDiCaprio,Leonardo DiCaprio,2482,310,2020-10-26 20:14:33,Twitter Web App,"Los Angeles, CA",-1
47,"200 tiny tadpoles have given the world great hope for the Loa Water Frog, a species w/fewer than 20 adults left. The tadpoles hatched a year after a team evacuated the last-known frogs from perilously dry habitat &amp; brought them to the National Zoo of Chile @parquemetminvu. https://t.co/tQLOLg5A8z",1320783044500832256,LeoDiCaprio,Leonardo DiCaprio,5411,549,2020-10-26 17:43:11,Twitter Web App,"Los Angeles, CA",1
48,"Today at 6pm CT (4pm PT) I’ll be watching the #HappyDaysReunion to support @wisdems. 
To join in, visit https://t.co/Fkg0CpKgcE
https://t.co/Fkg0CpKgcE",1320431806101950465,LeoDiCaprio,Leonardo DiCaprio,1900,183,2020-10-25 18:27:29,Twitter for iPhone,"Los Angeles, CA",0
49,"It’s #VoteEarlyDay so join the #VoteWithUsRally, featuring an amazing lineup of artists &amp; youth activists. RSVP &amp; watch live today from 3pm ET / 12pm PT at: https://t.co/UiZVjzUCEX https://t.co/HhKglUMG0q",1320066909795094528,LeoDiCaprio,Leonardo DiCaprio,1938,201,2020-10-24 18:17:31,Twitter for iPhone,"Los Angeles, CA",1
50,"What’s your voting plan? Today is #VoteEarlyDay and there’s no better time to take advantage of the many ways to #VoteEarly.

Discover your options at https://t.co/YXr6THh2LO",1320029077621764096,LeoDiCaprio,Leonardo DiCaprio,1939,198,2020-10-24 15:47:11,Twitter for iPhone,"Los Angeles, CA",1
51,"Did you know? You can vote safely and early at arenas across the country. 
Find your local arena at https://t.co/vOJwiG7JS8 #MakeHistoryHere #VenuesForVoters https://t.co/hBLUQLdKGv",1319751690426314752,LeoDiCaprio,Leonardo DiCaprio,3428,650,2020-10-23 21:24:57,Twitter Media Studio,"Los Angeles, CA",1
52,RT @_IllumiNatives: “Vote like your life depends on it—because it does. Vote to protect our planet. Vote to ensure our treaty rights are re…,1319694172987686912,LeoDiCaprio,Leonardo DiCaprio,0,112,2020-10-23 17:36:24,Twitter Web App,"Los Angeles, CA",0
53,I'm in. https://t.co/WRBe0f9Jux,1319679210802171904,LeoDiCaprio,Leonardo DiCaprio,11540,672,2020-10-23 16:36:56,Twitter Web App,"Los Angeles, CA",0
54,RT @marceelias: The right to vote—and to have all of our votes counted—is being challenged like never before. We need lawyers to help prote…,1319335638773035008,LeoDiCaprio,Leonardo DiCaprio,0,649,2020-10-22 17:51:43,Twitter Web App,"Los Angeles, CA",1
55,"RT @GlblCtzn: We’re excited to announce #EveryVoteCounts, a new broadcast hosted by @aliciakeys, @americaferrera, and @kerrywashington cele…",1319332410161414146,LeoDiCaprio,Leonardo DiCaprio,0,318,2020-10-22 17:38:53,Twitter Web App,"Los Angeles, CA",1
56,"The right to vote is being challenged like never before. We need lawyers to join the fight to protect and secure our elections. 

Sign up here with @WeTheAction to join the fight: https://t.co/G2BPxTw6XC https://t.co/sDLRBvF5Ta",1319313900093886466,LeoDiCaprio,Leonardo DiCaprio,2227,288,2020-10-22 16:25:20,Twitter Web App,"Los Angeles, CA",1
57,RT @nowthisnews: The 'lowcountry' is at extreme risk due to climate change and sea level rise — that's why @BillNye is urging South Carolin…,1319031387467386880,LeoDiCaprio,Leonardo DiCaprio,0,241,2020-10-21 21:42:43,Twitter Web App,"Los Angeles, CA",-1
58,RT @marceelias: Proud to feature @VoteRiders' Founder and President Kathleen Unger as @DemocracyDocket's Spotlight of the week! The @VoterR…,1318941783229825025,LeoDiCaprio,Leonardo DiCaprio,0,135,2020-10-21 15:46:40,Twitter Web App,"Los Angeles, CA",1
59,"RT @patrick_barkham: Martin White, whose story is told in this long read, devoted his life to reviving lost nature. Many people disagree wi…",1318941546314518528,LeoDiCaprio,Leonardo DiCaprio,0,185,2020-10-21 15:45:44,Twitter Web App,"Los Angeles, CA",1
60,"#PlantYourChange is an easy way for Americans to join the fight against the climate crisis. Every American can now automatically plant trees by rounding up their purchases a few cents at a time.

Sign up for @PlantYourChange today and start making a difference. #AspirationPartner",1318657886151536640,LeoDiCaprio,Leonardo DiCaprio,2721,517,2020-10-20 20:58:34,Twitter for Advertisers (legacy),"Los Angeles, CA",1
61,"The @CorteConstEcu is hearing a case on the Rights of Nature this week. The decision could affect all protected areas in Ecuador, including a Key Biodiversity Area, Los Cedros Reserve, which is threatened by mining. Help #SaveLosCedros: https://t.co/0jqWvs0bpC 

📷: Murray Cooper https://t.co/MDaHFLXbAA",1318625802435522561,LeoDiCaprio,Leonardo DiCaprio,2230,414,2020-10-20 18:51:04,Twitter Web App,"Los Angeles, CA",0
62,"I’m in. 
Sign up and support at https://t.co/rJ4t3gIau5 https://t.co/0mlbLGTrbM",1318571704394817536,LeoDiCaprio,Leonardo DiCaprio,3335,476,2020-10-20 15:16:06,Twitter Web App,"Los Angeles, CA",0
63,Make a plan to cast your ballot early at https://t.co/otVUOvjCWP https://t.co/YCD1IMtIVs,1318328253308829696,LeoDiCaprio,Leonardo DiCaprio,1918,293,2020-10-19 23:08:43,Twitter Web App,"Los Angeles, CA",1
64,"RT @DemocracyDocket: In order to ensure a fair election, it is essential that all voters have the opportunity to fix any minor problem on t…",1317977654901919744,LeoDiCaprio,Leonardo DiCaprio,0,502,2020-10-18 23:55:34,Twitter for iPhone,"Los Angeles, CA",1
65,"RT @nowthisnews: With Arizona's record temperatures and huge potential for renewable energy, @BillNye says state residents must #VoteForSci…",1317128169619558406,LeoDiCaprio,Leonardo DiCaprio,0,282,2020-10-16 15:40:01,Twitter Web App,"Los Angeles, CA",1
66,RT @nowthisnews: 'Science is on the ballot' — @BillNye wants you to #VoteForScience this year https://t.co/MdUB5UyZtX,1316897981954584576,LeoDiCaprio,Leonardo DiCaprio,0,470,2020-10-16 00:25:20,Twitter Web App,"Los Angeles, CA",1
67,RT @MotherJones: The climate isn’t just making wildfires worse. It can damage a forest's ability to recover at all. https://t.co/mRmyxyZpCY,1316524889004666882,LeoDiCaprio,Leonardo DiCaprio,0,284,2020-10-14 23:42:48,Twitter Web App,"Los Angeles, CA",-1
68,.@WCKitchen is working hard to keep everyone fed at the polls this year. Learn more at https://t.co/Su1XP62Yam #ChefsForThePolls https://t.co/PBKFu3ggMZ,1316402903171514368,LeoDiCaprio,Leonardo DiCaprio,1625,233,2020-10-14 15:38:04,Twitter Web App,"Los Angeles, CA",1
69,"RT @WhenWeAllVote: 🚨  ITS NOW OR NEVER 🚨

If you live in:

Washington, D.C.
Kansas
Louisiana 
Maryland
Minnesota
New Jersey
Oregon
Virginia…",1316131881960656896,LeoDiCaprio,Leonardo DiCaprio,0,1686,2020-10-13 21:41:07,Twitter Web App,"Los Angeles, CA",1
70,RT @marceelias: 📖READ: The election is only days away. If you’re planning to vote in person—either early or on November 3rd—then it’s impor…,1316131686061535232,LeoDiCaprio,Leonardo DiCaprio,0,276,2020-10-13 21:40:21,Twitter Web App,"Los Angeles, CA",1
71,"Today, on #IndigenousPeoplesDay, TIME 100 honoree Nemonte Nenquimo has written a powerful letter from the Amazon about her fight for #IndigenousRights and our climate.
https://t.co/pePFwEweWy",1315738602546982912,LeoDiCaprio,Leonardo DiCaprio,3696,789,2020-10-12 19:38:22,Twitter Web App,"Los Angeles, CA",1
72,Voting in #Texas? @iamjamiefoxx shares this helpful breakdown of everything you need to know. https://t.co/IYQGTKCuGi,1315716692480159744,LeoDiCaprio,Leonardo DiCaprio,2897,463,2020-10-12 18:11:18,Twitter Web App,"Los Angeles, CA",0
73,"There is a growing shortage of poll workers. 
Sign up at https://t.co/BvseZfMgUx https://t.co/mWoY8F92hT",1314973970438008832,LeoDiCaprio,Leonardo DiCaprio,2221,397,2020-10-10 17:00:00,Twitter Web App,"Los Angeles, CA",0
74,Be an #OctoberVoter. https://t.co/I2etechyBD,1314622907486621697,LeoDiCaprio,Leonardo DiCaprio,3079,375,2020-10-09 17:45:00,Twitter Web App,"Los Angeles, CA",0
75,Lawyers: It’s not too late to sign up with @WeTheAction https://t.co/BC3W7nKET6,1314573835920986113,LeoDiCaprio,Leonardo DiCaprio,2084,465,2020-10-09 14:30:00,Twitter Web App,"Los Angeles, CA",-1
76,"Voter Suppression appears in many forms. 
Here’s what to look out for. https://t.co/QafOY0Lpvt",1314362442185465856,LeoDiCaprio,Leonardo DiCaprio,3863,885,2020-10-09 00:30:00,Twitter Web App,"Los Angeles, CA",1
77,Caron Butler (@realtuffjuice) is helping get out the vote in Wisconsin. https://t.co/eAZupucR6S,1314317144029630464,LeoDiCaprio,Leonardo DiCaprio,1284,187,2020-10-08 21:30:00,Twitter Web App,"Los Angeles, CA",0
78,This Friday (Oct 9) is the last day to register to vote in #NorthCarolina. Zach Galifianakis (@galifianakisz) shares these helpful Do’s &amp; Don’ts. https://t.co/eotvQbRHU2,1314297142140305408,LeoDiCaprio,Leonardo DiCaprio,1982,276,2020-10-08 20:10:31,Twitter Web App,"Los Angeles, CA",0
79,"After nearly 3,000 years, Tasmanian Devils have returned to mainland Australia. @aussie_ark, with support from @global_wildlife &amp; @Wild_Ark released 26 to mainland Australia. #DevilComeback #RewildAustralia
https://t.co/Bw6YP1SO9L",1313513974273462272,LeoDiCaprio,Leonardo DiCaprio,2978,343,2020-10-06 16:18:30,Twitter Web App,"Los Angeles, CA",1
80,Coach @DocRivers shares this list of Do’s &amp; Don’ts for Florida voters https://t.co/1SgW4MuwR2,1313237599503360005,LeoDiCaprio,Leonardo DiCaprio,1504,213,2020-10-05 22:00:17,Twitter Web App,"Los Angeles, CA",0
81,Bradley Cooper is getting out the vote in PA with this helpful list of Do’s &amp; Don’ts https://t.co/b8OhCoZ2WV,1313215391028502528,LeoDiCaprio,Leonardo DiCaprio,5019,624,2020-10-05 20:32:02,Twitter Web App,"Los Angeles, CA",0
82,Voter suppression is a very real threat. @SaveMyVote2020 from @Greg_Palast seeks to change that. Check now to see if your voter registration has been cancelled at https://t.co/R97944HyVn @YNB https://t.co/2hKcP75two,1312422155791941632,LeoDiCaprio,Leonardo DiCaprio,7988,3054,2020-10-03 16:00:00,Twitter Media Studio,"Los Angeles, CA",1
83,RT @marceelias: 🚨🗳️Our latest #VotingProcessExplained is here! @DemocracyDocket is fighting back against voter suppression every day. You c…,1311685671501795328,LeoDiCaprio,Leonardo DiCaprio,0,176,2020-10-01 15:13:28,Twitter Web App,"Los Angeles, CA",1
84,RT @TheWCS: JUST IN: The newly introduced Preventing Future Pandemics Act will help us reduce the risk of future deadly pandemics. Thank yo…,1311685465582387201,LeoDiCaprio,Leonardo DiCaprio,0,112,2020-10-01 15:12:39,Twitter Web App,"Los Angeles, CA",-1
85,"RT @WhenWeAllVote: The election isn’t soon. It’s now. 

Millions of Americans will be voting in October. Will you?

Take the first step—get…",1311413715221192704,LeoDiCaprio,Leonardo DiCaprio,0,130,2020-09-30 21:12:49,Twitter Web App,"Los Angeles, CA",1
86,"Voting is the only power we have to make change.
Watch the third episode of #WhoseVoteCounts, Explained on Netflix. 

Register to vote and make your plan at https://t.co/A1ocpMYR0l https://t.co/Qr72wpOTQW",1311339097563119616,LeoDiCaprio,Leonardo DiCaprio,2867,458,2020-09-30 16:16:19,Twitter Web App,"Los Angeles, CA",0
87,"Golden State Warriors Head Coach @SteveKerr is getting out the vote in #Arizona with this list of helpful Do’s and Don'ts. (Via @nowthisnews) 
@azcentral @azdemparty @CaptMarkKelly https://t.co/7Nwbuu2elS",1311029014430011394,LeoDiCaprio,Leonardo DiCaprio,1661,213,2020-09-29 19:44:09,Twitter Web App,"Los Angeles, CA",1
88,"RT @marceelias: Check out @voxdotcom’s new @netflix series—Whose Vote Counts? I join @LeoDiCaprio, @staceyabrams, @aoc, and many others to…",1311028608765362177,LeoDiCaprio,Leonardo DiCaprio,0,206,2020-09-29 19:42:32,Twitter Web App,"Los Angeles, CA",1
89,"Money can buy a lot of things, but only you get to decide if your vote is one of them. 

Watch the next episode of #WhoseVoteCounts, Explained on @Netflix and make sure you’re ready to vote at https://t.co/ZmAYkIvFKW https://t.co/Y7vz4CmRIu",1310987354610348032,LeoDiCaprio,Leonardo DiCaprio,2648,422,2020-09-29 16:58:36,Twitter Web App,"Los Angeles, CA",1
90,"Watch the first full episode of #WhoseVoteCounts, Explained here https://t.co/JY2wspjcTL",1310693185568473088,LeoDiCaprio,Leonardo DiCaprio,6682,846,2020-09-28 21:29:41,Twitter Web App,"Los Angeles, CA",1
91,"All of us may have been created equal, but we will never actually be equal until we ALL vote. Watch #WhoseVoteCounts, Explained on Netflix today and make your plan to vote at https://t.co/ZmAYkIvFKW https://t.co/e4mrMSnmBz",1310595126561918976,LeoDiCaprio,Leonardo DiCaprio,3066,529,2020-09-28 15:00:02,Twitter Web App,"Los Angeles, CA",0
92,RT @nowthisnews: The stakes in 2020 are even higher than you thought — @BarackObama explains why this is a 'last chance' election with down…,1309268158159626240,LeoDiCaprio,Leonardo DiCaprio,0,976,2020-09-24 23:07:08,Twitter Web App,"Los Angeles, CA",1
93,"America has never held an election like this – and we need to ensure all of our voices are heard. Watch #WhoseVoteCounts, Explained on Netflix Sep 28 and visit https://t.co/ZmAYkIe4To to make your plan to vote. https://t.co/AZlM959PkM",1309153117120978947,LeoDiCaprio,Leonardo DiCaprio,5246,1113,2020-09-24 15:30:00,Twitter Web App,"Los Angeles, CA",0
94,"RT @WhenWeAllVote: Young people know they have power. It's up to us to teach them how to harness it. 

Join our #MySchoolVotes program to f…",1308796170374848513,LeoDiCaprio,Leonardo DiCaprio,0,170,2020-09-23 15:51:37,Twitter Web App,"Los Angeles, CA",1
95,"The right to vote and be counted is being threatened like never before. @WeTheAction is recruiting volunteer lawyers nationwide to ensure the election is safe, secure and accessible.

Will you help us protect the election?
https://t.co/AxiWLwGczf",1308553790845378560,LeoDiCaprio,Leonardo DiCaprio,3293,780,2020-09-22 23:48:30,Twitter for iPhone,"Los Angeles, CA",1
96,RT @Global_Wildlife: Let Bosnia and Herzegovina’s rivers run free! Unless the gov. turns into law a resolution to ban small hydropower proj…,1308498589081980928,LeoDiCaprio,Leonardo DiCaprio,0,312,2020-09-22 20:09:09,Twitter Web App,"Los Angeles, CA",1
97,"Early voting has already begun in several states. 
Register to vote today and make sure your voice is heard. Head to https://t.co/Jz5cS066N2 to get registered today. 
#Vote2020 #NationalVoterRegistrationDay https://t.co/T3syUG1EGW",1308428234229391360,LeoDiCaprio,Leonardo DiCaprio,3920,660,2020-09-22 15:29:35,Twitter Web App,"Los Angeles, CA",1
98,Florida’s pay-to-vote system stops formerly convicted individuals with fines &amp; fees from voting. Visit https://t.co/0kqPWoEL7p to find out more about how we can all help change this. #FreeTheVote https://t.co/3FkwRykAHZ,1308197707601772544,LeoDiCaprio,Leonardo DiCaprio,2281,428,2020-09-22 00:13:33,Twitter Web App,"Los Angeles, CA",1
99,All In: The Fight For Democracy is available on Prime Video today https://t.co/X0G8GNdIV0,1307056228208607232,LeoDiCaprio,Leonardo DiCaprio,2952,438,2020-09-18 20:37:43,Twitter for iPhone,"Los Angeles, CA",1
100,RT @AP: Wildfires are raging in California and Oregon. The Atlantic has seen a record number of tropical storms and Phoenix keeps breaking…,1306955039689367557,LeoDiCaprio,Leonardo DiCaprio,0,1032,2020-09-18 13:55:38,Twitter for iPhone,"Los Angeles, CA",0
